crtR(2011:2022),mean curvature,Gaussian curvature,ridge degree,ravine degree,Longitude,Latitude
0.475724,128.217839,2673.934452,-100,181.973509,140.913034,37.382417
0.493038,-23.396452,8.15025,-100,-100,140.909651,37.377006
0.494307,1.791602,-0.788428,-100,-100,140.909087,37.377005
0.497828,-75.910901,2095.64938,-100,-100,140.909651,37.377456
0.429167,-93.726781,3592.076276,-100,-100,140.909649,37.379259
0.490347,-139.757226,11119.2897,-100,-100,140.910779,37.378359
0.482375,-115.164562,-11093.84399,229.135991,-100,140.911342,37.379711
0.450752,-115.164562,-11093.84399,196.423345,-100,140.910213,37.37971
0.470523,-115.164562,-11093.84399,245.96189,-100,140.910778,37.379711
0.485521,-113.801737,-11384.84844,172.902269,-100,140.911906,37.380613
0.474515,-122.371054,4856.163227,207.313282,-100,140.910778,37.37926
0.48949,-163.410984,15693.13943,252.690996,-100,140.911344,37.37881
0.49291,-139.757226,11119.2897,-100,-100,140.911344,37.378359
0.491961,-163.410984,15693.13943,229.250587,-100,140.911908,37.37881
0.460325,-4.448755,-5557.300362,-100,-100,140.916426,37.378813
0.453673,-23.06414,-5409.209868,-100,-100,140.916427,37.378363
0.440567,307.583747,-86858.68139,-100,650.741704,140.919249,37.379717
0.449765,63.842178,-5176.278589,-100,-100,140.918685,37.379266
0.45162,99.401269,-8016.858624,-100,-100,140.916989,37.380617
0.435559,97.042067,-21908.34992,-100,194.805026,140.918683,37.380618
0.429827,266.069609,-86626.99704,-100,583.604356,140.919248,37.380618
0.423631,313.320521,-65860.34773,-100,639.788588,140.919813,37.380619
0.470763,-163.410984,15693.13943,228.602919,-100,140.910214,37.378809
0.482448,-163.410984,15693.13943,252.690996,-100,140.910779,37.378809
0.406898,-48.395224,684.490576,-100,-100,140.909084,37.379259
0.477138,108.666905,-65.969246,-100,91.132981,140.913599,37.381516
0.472843,108.666905,-65.969246,-100,91.132981,140.914164,37.381516
0.475428,100.704952,-781.486008,-100,64.986029,140.914165,37.381065
0.473043,79.642716,-2290.598651,-100,-100,140.91473,37.380615
0.435818,139.890158,-9044.394335,-100,213.442689,140.918118,37.381068
0.435317,266.069609,-86626.99704,-100,589.423031,140.919249,37.380167
0.430264,151.399262,-20825.48395,-100,299.96197,140.918683,37.381068
0.455768,99.401269,-8016.858624,-100,-100,140.91699,37.380166
0.465312,119.512956,2612.444276,-100,115.435018,140.914729,37.381967
0.463499,119.512956,2612.444276,-100,115.435018,140.914728,37.382418
0.414948,79.013261,4250.220977,-100,-100,140.919812,37.38152
0.453002,139.890158,-9044.394335,-100,127.110382,140.916424,37.381067
0.449263,181.717684,10454.88016,-100,184.397253,140.916423,37.381518
0.424654,390.320051,-17106.82907,-100,722.12371,140.919248,37.381069
0.484328,-68.137305,-7268.683767,-100,-100,140.911906,37.381064
0.482433,-68.137305,-7268.683767,94.843685,-100,140.911341,37.381063
0.469639,43.20494,1225.382637,-100,-100,140.913597,37.383769
0.456131,-122.371054,4856.163227,149.234806,-100,140.910213,37.37926
0.421142,-92.19592,-3533.145301,105.135318,-100,140.909648,37.37971
0.391859,-181.853483,17878.34541,158.892902,-100,140.909083,37.379709
0.48144,-113.801737,-11384.84844,236.128406,-100,140.911342,37.380162
0.481843,-113.801737,-11384.84844,221.083709,-100,140.911341,37.380613
0.484407,-51.184458,-5823.145198,-100,-100,140.91247,37.381064
0.47294,-50.947174,-3070.899045,-100,-100,140.909647,37.381062
0.47514,-68.137305,-7268.683767,-100,12.439825,140.910211,37.381062
0.456808,-113.801737,-11384.84844,244.37506,-100,140.910212,37.380161
0.478998,-68.137305,-7268.683767,-100,-100,140.910776,37.381063
0.473825,78.389041,301.998393,-100,73.57331,140.913033,37.382867
0.47238,71.053983,2438.39777,-100,97.365429,140.913033,37.383318
0.412491,347.033392,-1644.357785,-100,621.817218,140.920377,37.38107
0.400621,286.27715,12804.76579,-100,499.541514,140.921507,37.38062
0.425776,186.320551,14336.75532,-100,177.652268,140.918683,37.381519
0.43128,181.717684,10454.88016,-100,162.252727,140.918118,37.381519
0.460483,99.401269,-8016.858624,-100,-100,140.916425,37.380166
0.456971,99.401269,-8016.858624,-100,-100,140.916424,37.380616
0.465269,52.281144,20.606426,-100,-100,140.91586,37.380165
0.450588,83.869556,-7931.888655,-100,108.440074,140.91812,37.379716
0.445915,81.065122,-21975.55845,-100,148.97139,140.918684,37.379716
0.420682,167.879327,15042.0645,-100,-100,140.918682,37.382421
0.396849,65.828285,2965.734469,-100,-100,140.921506,37.381521
0.403322,79.013261,4250.220977,-100,-100,140.920942,37.381521
0.396978,40.305706,696.285745,-100,-100,140.921506,37.381972
0.439838,-90.827794,-3768.487575,167.546569,-100,140.909648,37.380161
0.459461,-121.369809,-1638.79034,203.281,-100,140.909647,37.380611
0.420317,154.660848,12348.40887,-100,-100,140.918681,37.382871
0.462401,92.254775,127.32339,-100,-100,140.91586,37.380616
0.458954,111.065468,114.073515,-100,-100,140.915859,37.381067
0.466799,-113.801737,-11384.84844,225.407994,-100,140.910212,37.380612
0.475311,-113.801737,-11384.84844,234.661939,-100,140.910777,37.380612
0.489587,4.710813,-25.799201,-100,-100,140.906828,37.377004
0.470504,119.512956,2612.444276,-100,115.435018,140.914164,37.381967
0.458567,47.927883,1547.493093,-100,-100,140.91529,37.384672
0.429084,-182.02892,19667.94893,162.829352,-100,140.908519,37.379709
0.432787,-178.265581,16082.59475,192.611958,-100,140.909083,37.38016
0.443004,181.717684,10454.88016,-100,205.121625,140.916988,37.381518
0.447133,139.890158,-9044.394335,-100,144.006221,140.916989,37.381067
0.420381,99.020715,6247.341015,-100,-100,140.919247,37.38152
0.412449,52.338621,1102.028438,-100,-100,140.919812,37.381971
0.398114,236.748894,26888.01268,-100,-100,140.921507,37.38107
0.405662,347.033392,-1644.357785,-100,503.196611,140.920942,37.38107
0.389803,23.108985,478.336478,-100,-100,140.922071,37.381521
0.459122,-178.265581,16082.59475,220.627963,-100,140.909082,37.380611
0.494152,-200.720512,19128.38963,329.158782,-100,140.907952,37.381061
0.480603,-92.905262,3798.525401,-100,-100,140.90965,37.378358
0.494054,-95.751973,3963.285674,-100,-100,140.90965,37.377907
0.480724,-16.536911,-182.261659,-100,-100,140.909085,37.378357
0.457243,-110.708132,6792.38651,101.313966,-100,140.909649,37.378808
0.468598,119.512956,2612.444276,-100,115.435018,140.914163,37.382417
0.467311,113.598689,2448.662185,-100,110.490494,140.914163,37.382868
0.431515,168.816847,13413.11038,-100,126.120574,140.917552,37.38242
0.437705,168.816847,13413.11038,-100,174.862981,140.916987,37.382419
0.430763,165.721891,12622.56751,-100,123.371249,140.917551,37.38287
0.436886,165.721891,12622.56751,-100,141.86408,140.916987,37.38287
0.439761,168.816847,13413.11038,-100,169.336639,140.916988,37.381969
0.483941,4.19521,-7470.350515,-100,56.192181,140.909645,37.381963
0.480666,3.433846,-4476.40612,-100,30.22395,140.909646,37.381513
0.480241,0.984515,-2768.058878,-100,6.918032,140.910211,37.381513
0.481243,0.984515,-2768.058878,-100,19.837387,140.910776,37.381513
0.47012,63.876348,2071.884986,-100,-100,140.913597,37.383318
0.484036,9.421304,-7392.477625,-100,58.899482,140.909645,37.382414
0.482708,-200.720512,19128.38963,312.237712,-100,140.908517,37.381061
0.504853,-1.447494,-21.600268,-100,-100,140.906827,37.377454
0.417308,39.720553,-97.599972,-100,-100,140.919245,37.383322
0.455595,141.349343,3845.807117,-100,157.914031,140.915859,37.381517
0.452878,147.046822,5626.878363,-100,159.385364,140.915858,37.381968
0.48227,20.663322,-2664.032489,-100,32.81626,140.91021,37.381964
0.466687,63.876348,2071.884986,-100,-100,140.914162,37.383319
0.466643,43.20494,1225.382637,-100,-100,140.914162,37.383769
0.517358,-179.528894,18358.45555,216.638412,-100,140.906824,37.380158
0.499959,-179.528894,18358.45555,201.906395,-100,140.907389,37.380159
0.491796,-95.708675,-8664.244321,182.781236,-100,140.908515,37.382413
0.393689,-12.822075,-211.456183,26.219737,-100,140.922635,37.382874
0.39752,-0.337802,-164.080747,-100,-100,140.92207,37.382874
0.49249,-95.708675,-8664.244321,203.434899,-100,140.908516,37.381962
0.407163,52.338621,1102.028438,-100,-100,140.920376,37.382422
0.411476,52.338621,1102.028438,-100,-100,140.919811,37.382421
0.404788,52.15747,1068.816783,-100,-100,140.92094,37.382873
0.47508,-182.189183,13020.68284,203.853517,-100,140.909082,37.381061
0.507307,-136.932667,-12132.51428,295.640811,-100,140.907387,37.381511
0.462099,63.876348,2071.884986,-100,-100,140.914727,37.383319
0.466324,62.202613,-2154.042067,-100,103.199095,140.910207,37.384668
0.469836,62.202613,-2154.042067,-100,103.199095,140.910208,37.384217
0.466719,20.977411,-6658.855546,-100,62.59674,140.909642,37.384667
0.423163,29.442438,-1017.534266,-100,-100,140.91868,37.383773
0.415955,74.816009,1891.026895,-100,-100,140.919246,37.382872
0.443442,165.721891,12622.56751,-100,146.980877,140.916422,37.38287
0.513985,-7.61257,-50.424363,-100,-100,140.906827,37.377905
0.49449,4.710813,-25.799201,-100,-100,140.907957,37.377004
0.494862,4.710813,-25.799201,-100,-100,140.908522,37.377005
0.502358,-1.447494,-21.600268,-100,-100,140.908521,37.377456
0.506055,-1.447494,-21.600268,-100,-100,140.907392,37.377455
0.504824,-1.447494,-21.600268,-100,-100,140.907957,37.377455
0.49287,4.710813,-25.799201,-100,-100,140.907392,37.377004
0.481893,20.663322,-2664.032489,-100,32.81626,140.91021,37.382414
0.482905,0.984515,-2768.058878,-100,-100,140.911905,37.381514
0.482216,33.946202,-1482.959903,-100,-100,140.91247,37.381515
0.486413,-179.528894,18358.45555,267.053793,-100,140.907953,37.38061
0.484459,21.278905,246.327593,-100,-100,140.906263,37.377003
0.462421,113.598689,2448.662185,-100,110.490494,140.914728,37.382868
0.457539,113.983395,2490.705774,-100,103.385617,140.915293,37.382418
0.459329,113.983395,2490.705774,-100,103.385617,140.915293,37.381967
0.461831,128.400822,1138.896565,-100,113.818726,140.915294,37.381517
0.466938,33.065241,747.541206,-100,-100,140.914161,37.38422
0.467256,33.065241,747.541206,-100,-100,140.914161,37.384671
0.445757,26.719023,-126.742106,-100,-100,140.91642,37.384222
0.451984,51.700231,1005.53582,-100,-100,140.915856,37.384221
0.497077,-95.708675,-8664.244321,182.781236,-100,140.907951,37.382413
0.481395,-46.456763,-1699.739931,76.044844,-100,140.909079,37.383315
0.478744,-5.676754,-7223.72284,-100,46.312002,140.909644,37.383315
0.479863,23.733002,-2805.991573,-100,32.963828,140.910209,37.382865
0.481114,20.663322,-2664.032489,-100,-100,140.911905,37.381965
0.479993,2.500937,-1658.156064,-100,-100,140.912469,37.381965
0.477748,2.500937,-1658.156064,-100,-100,140.912469,37.382416
0.518174,-7.61257,-50.424363,-100,-100,140.906826,37.378356
0.511362,-7.61257,-50.424363,-100,-100,140.907391,37.378356
0.487637,-17.661767,-60.633711,-100,-100,140.907955,37.378807
0.498235,-136.932667,-12132.51428,295.640811,-100,140.907952,37.381511
0.489895,-136.932667,-12132.51428,278.719741,-100,140.908516,37.381512
0.477076,-36.558526,-3332.071782,97.357709,-100,140.909078,37.383766
0.449445,-179.528894,18358.45555,201.906395,-100,140.908518,37.38016
0.469462,-179.528894,18358.45555,267.053793,-100,140.908518,37.38061
0.456582,107.954549,2318.271291,-100,98.249543,140.915292,37.382869
0.450136,119.12498,3602.734332,-100,96.939869,140.915857,37.382869
0.446262,168.816847,13413.11038,-100,171.936595,140.916423,37.381968
0.465707,-17.661767,-60.633711,-100,-100,140.90852,37.378808
0.500397,-7.61257,-50.424363,-100,-100,140.907956,37.378356
0.495831,-14.444746,-165.34793,-100,-100,140.909086,37.377907
0.476859,10.997022,-3960.425344,-100,44.312587,140.910209,37.383316
0.485051,-79.941981,-10529.27639,163.331689,-100,140.90908,37.382864
0.481999,7.462104,-7816.524755,-100,58.93578,140.909644,37.382865
0.470803,39.072404,-4903.80848,-100,77.471487,140.909643,37.384217
0.473421,51.782078,-2985.069545,-100,87.557907,140.910208,37.383767
0.480298,117.776201,-140.370399,-100,109.431386,140.913035,37.381515
0.402387,52.338621,1102.028438,-100,-100,140.920941,37.381971
0.409291,79.013261,4250.220977,-100,-100,140.920377,37.38152
0.389769,102.162743,6942.42061,-100,-100,140.922072,37.381071
0.47489,12.396115,-7284.714713,-100,57.832679,140.909643,37.383766
0.424712,35.564385,-1769.511897,-100,72.624115,140.919244,37.384674
0.499797,-10.617536,-106.452909,-100,-100,140.909086,37.377456
0.500505,-7.61257,-50.424363,-100,-100,140.908521,37.377906
0.488401,-7.61257,-50.424363,-100,-100,140.90852,37.378357
0.506694,-7.61257,-50.424363,-100,-100,140.907956,37.377906
0.487342,-86.358478,-8109.569581,156.475463,-100,140.90908,37.382414
0.384964,-12.892978,-206.904803,28.855169,-100,140.922636,37.381973
0.457033,38.346977,979.820275,-100,-100,140.915291,37.38377
0.456475,71.300906,2874.29372,-100,-100,140.915292,37.38332
0.4259,60.333416,1351.827025,-100,-100,140.918116,37.383322
0.427478,33.17082,1.454998,-100,-100,140.918115,37.383772
0.432548,33.17082,1.454998,-100,-100,140.91755,37.383772
0.451016,147.046822,5626.878363,-100,159.385364,140.915858,37.382419
0.444297,168.816847,13413.11038,-100,177.505681,140.916422,37.382419
0.425444,21.450805,-976.622234,-100,-100,140.91868,37.384223
0.422303,35.564385,-1769.511897,-100,72.624115,140.919244,37.384224
0.450939,57.98176,1391.322346,-100,-100,140.915856,37.383771
0.444562,33.17082,1.454998,-100,-100,140.916421,37.383771
0.419612,32.854531,-1312.939301,-100,-100,140.919245,37.383773
0.470727,42.879266,1164.060579,-100,-100,140.913032,37.384219
0.470921,72.061541,980.577322,-100,113.407144,140.912467,37.384219
0.476365,-179.528894,18358.45555,201.906395,-100,140.907953,37.380159
0.474072,-49.003075,476.288548,-100,-100,140.907954,37.379258
0.437017,-49.003075,476.288548,-100,-100,140.908519,37.379258
0.506479,-17.661767,-60.633711,-100,-100,140.90739,37.378807
0.415944,66.67016,1657.667788,-100,-100,140.919246,37.382421
0.421286,59.95277,725.818952,-100,-100,140.918681,37.383322
0.519889,3.233588,-1.731531,-100,-100,140.906261,37.378355
0.50076,-49.003075,476.288548,-100,-100,140.90739,37.379257
0.50361,-179.528894,18358.45555,267.053793,-100,140.907388,37.380609
0.49823,-182.02892,19667.94893,162.829352,-100,140.907389,37.379708
0.469562,-182.02892,19667.94893,162.829352,-100,140.907954,37.379709
0.493327,-86.00567,-12323.56659,189.517311,-100,140.90795,37.382863
0.49796,-86.00567,-12323.56659,189.517311,-100,140.907385,37.382863
0.472479,-31.325563,-3559.730119,85.537624,-100,140.909078,37.384216
0.463021,42.003352,-1759.436234,-100,63.931605,140.910206,37.385119
0.440658,26.719023,-126.742106,-100,-100,140.916985,37.384673
0.439694,26.719023,-126.742106,-100,-100,140.916985,37.384222
0.435334,26.719023,-126.742106,-100,-100,140.91755,37.384673
0.446581,26.719023,-126.742106,-100,-100,140.91642,37.384672
0.450174,78.851568,3046.007016,-100,-100,140.915857,37.38332
0.443615,60.333416,1351.827025,-100,-100,140.916421,37.38332
0.458557,20.585015,289.096625,-100,-100,140.91529,37.385122
0.42636,-43.740436,539.615409,-100,-100,140.919243,37.385576
0.391191,2.52901,-90.173907,-100,-100,140.922071,37.381972
0.401207,43.626361,752.823663,-100,-100,140.921505,37.382873
0.402886,52.338621,1102.028438,-100,-100,140.920941,37.382422
0.39847,43.773512,775.401656,-100,-100,140.921505,37.382422
0.407478,52.338621,1102.028438,-100,-100,140.920376,37.381971
0.472387,51.782078,-2985.069545,-100,88.816202,140.911338,37.383767
0.469935,62.202613,-2154.042067,-100,103.199095,140.911337,37.384218
0.472639,51.782078,-2985.069545,-100,88.816202,140.910773,37.383767
0.453004,-22.618791,-145.929741,-100,-100,140.90964,37.38647
0.456011,-19.888452,-148.16074,-100,-100,140.909641,37.38602
0.462798,20.669552,-3706.369749,-100,-100,140.909642,37.385118
0.459245,-18.322699,-396.77605,-100,-100,140.909641,37.385569
0.460049,-15.379822,-364.279915,-100,-100,140.910206,37.385569
0.474734,-21.334549,-2371.806101,58.084349,-100,140.908513,37.384216
0.48471,-45.799558,-2719.216101,86.901316,-100,140.908514,37.383315
0.479859,-25.727179,-2264.699923,61.894123,-100,140.908514,37.383765
0.463418,-23.940921,-1900.662622,33.895243,-100,140.909077,37.385118
0.457399,-23.79882,135.224731,-100,-100,140.910205,37.38602
0.457367,-17.698078,234.829981,-100,-100,140.915289,37.385573
0.446392,13.826022,-402.783222,-100,-100,140.916419,37.385123
0.452729,33.4164,270.978145,-100,-100,140.915855,37.384672
0.512881,-35.879692,417.057287,-100,-100,140.906256,37.382411
0.417424,66.67016,1657.667788,-100,-100,140.919247,37.38197
0.422513,167.879327,15042.0645,-100,130.491952,140.918682,37.38197
0.425841,168.816847,13413.11038,-100,124.83155,140.918117,37.38242
0.433602,168.816847,13413.11038,-100,139.379159,140.917552,37.381969
0.40207,-7.725715,31.026033,-100,-100,140.922069,37.383324
0.383704,-12.892978,-206.904803,28.855169,-100,140.9232,37.382424
0.393818,-0.552313,-158.484302,-100,-100,140.92207,37.382423
0.460755,-64.953654,2816.89289,-100,-100,140.914724,37.386023
0.452596,37.103247,155.935181,-100,56.424074,140.915855,37.385123
0.463633,24.333124,417.245189,-100,-100,140.914725,37.385122
0.457898,47.927883,1547.493093,-100,-100,140.915291,37.384221
0.463007,33.065241,747.541206,-100,-100,140.914726,37.384221
0.463561,33.065241,747.541206,-100,-100,140.914725,37.384671
0.42938,26.719023,-126.742106,-100,-100,140.918115,37.384223
0.435367,13.826022,-402.783222,-100,-100,140.917549,37.385124
0.448823,-66.53682,3048.082917,-100,-100,140.915288,37.386474
0.45441,-52.954863,1944.177705,-100,-100,140.915289,37.386024
0.462856,-13.576804,140.655151,-100,-100,140.914724,37.385573
0.466833,-13.576804,140.655151,-100,-100,140.91416,37.385572
0.462402,43.20494,1225.382637,-100,-100,140.914726,37.38377
0.524977,-8.712613,5.721656,-100,-100,140.906261,37.378806
0.51887,-17.661767,-60.633711,-100,-100,140.906825,37.378806
0.517945,-49.003075,476.288548,-100,-100,140.906825,37.379257
0.506474,-200.720512,19128.38963,329.158782,-100,140.907387,37.38106
0.456061,-15.175553,-484.925814,-100,-100,140.908511,37.386019
0.522695,-90.886935,3572.789789,-100,-100,140.906257,37.38151
0.517394,-200.720512,19128.38963,299.827395,-100,140.906823,37.38106
0.515712,-136.932667,-12132.51428,281.286588,-100,140.906822,37.38151
0.5172,-182.02892,19667.94893,186.752036,-100,140.906824,37.379708
0.528932,-105.581001,8171.782576,-100,-100,140.90626,37.379707
0.45498,-23.79882,135.224731,-100,-100,140.910205,37.386471
0.459615,-23.79882,135.224731,-100,-100,140.91077,37.38602
0.462385,-23.79882,135.224731,-100,-100,140.911335,37.386021
0.439797,-48.580562,1504.925423,-100,-100,140.916418,37.386025
0.447123,-50.124075,1348.729461,-100,-100,140.915854,37.386024
0.431284,-48.580562,1504.925423,-100,-100,140.916418,37.386475
0.461709,-20.266584,-244.974143,-100,-100,140.907947,37.385568
0.457338,-15.175553,-484.925814,-100,-100,140.907946,37.386018
0.460218,-20.266584,-244.974143,-100,-100,140.908512,37.385568
0.463617,-20.266584,-244.974143,-100,-100,140.907382,37.385567
0.467867,-31.325563,-3559.730119,67.118025,-100,140.909077,37.384667
0.469633,-21.334549,-2371.806101,43.273305,-100,140.908513,37.384667
0.428259,5.985491,-931.112611,-100,-100,140.918679,37.385125
0.426248,10.482987,-1937.490183,-100,-100,140.919243,37.385125
0.42736,21.450805,-976.622234,-100,55.474401,140.918679,37.384674
0.410729,34.085986,-81.977319,-100,-100,140.920375,37.383323
0.413857,34.085986,-81.977319,-100,-100,140.91981,37.383323
0.416632,35.913134,-1746.978226,-100,48.191187,140.91981,37.383773
0.407833,34.085986,-81.977319,-100,-100,140.92094,37.383323
0.419766,38.494537,-2355.187331,-100,69.61921,140.919809,37.384224
0.45102,99.401269,-8016.858624,-100,-100,140.917554,37.380166
0.446316,99.401269,-8016.858624,-100,-100,140.917554,37.380617
0.43701,181.717684,10454.88016,-100,163.204883,140.917553,37.381518
0.427877,168.816847,13413.11038,-100,138.090136,140.918117,37.381969
0.505923,-95.708675,-8664.244321,203.434899,-100,140.907386,37.381962
0.512544,-95.708675,-8664.244321,147.215294,-100,140.906822,37.381961
0.498972,-95.708675,-8664.244321,203.434899,-100,140.907951,37.381962
0.431224,60.333416,1351.827025,-100,-100,140.917551,37.383321
0.43718,60.333416,1351.827025,-100,-100,140.916986,37.383321
0.438313,33.17082,1.454998,-100,-100,140.916986,37.383771
0.425236,165.721891,12622.56751,-100,-100,140.918116,37.382871
0.434156,26.719023,-126.742106,-100,-100,140.91755,37.384223
0.430877,26.719023,-126.742106,-100,-100,140.918114,37.384674
0.47497,10.997022,-3960.425344,-100,41.505277,140.911338,37.383317
0.475657,10.997022,-3960.425344,-100,38.14538,140.910773,37.383316
0.477552,23.733002,-2805.991573,-100,-100,140.911339,37.382866
0.478469,23.733002,-2805.991573,-100,-100,140.910774,37.382866
0.480662,20.663322,-2664.032489,-100,-100,140.910774,37.382415
0.474442,10.997022,-3960.425344,-100,-100,140.911903,37.383317
0.441415,139.890158,-9044.394335,-100,174.200416,140.917553,37.381068
0.446156,99.401269,-8016.858624,-100,133.364955,140.918119,37.380167
0.440995,99.401269,-8016.858624,-100,133.364955,140.918119,37.380617
0.440977,137.385162,-21782.41861,-100,265.61271,140.918684,37.380167
0.454804,83.869556,-7931.888655,-100,-100,140.917555,37.379716
0.511896,3.233588,-1.731531,-100,-100,140.906262,37.377904
0.444438,-15.679716,-44.4233,-100,-100,140.916419,37.385574
0.450992,-15.899294,6.913084,-100,-100,140.915854,37.385573
0.440487,13.826022,-402.783222,-100,-100,140.916984,37.385124
0.471799,-21.334549,-2371.806101,43.273305,-100,140.907948,37.384666
0.474117,-21.334549,-2371.806101,43.273305,-100,140.907383,37.384666
0.477376,-21.334549,-2371.806101,58.084349,-100,140.907948,37.384215
